(h)ari-	harusp		haruspex
conr-	corr		corrado, correctio, corrector, correctus, corregio, correpo, correpte, correptio, correptus, correus, corrideo, corrigo, corripio, corriuatio, corriuo, corroboro, corrodo, corrogo, corrotundo, corrugo, corrumpo, corruo, corrupte, corruptela, corruptio, corruptor, corruptrix, corruspor
contut-	contui	+1	contuitus
conuor-	conuer		conuerto
cop-	cau	+1	caupona
cop-	coo	+1	cooperculum, cooperimentum, cooperio, cooptatio, coopto
corolit-	coralli	--1	coralliticus
corollit-	corallit		coralliticus
cot-	cot		cottidiano, cottidie, cottidio
coti-	cott	+1	cottidianus
crab-	grab		grabatus
crass-	grass		grassator
cum-	cym		cymatium
cupe-	cupp	+1	cuppedia, cuppedo
cupi-	cupp	+1	cuppedia
defrud-	defrau	+1	defraudo
deiur-	deier		deiero
delachr-	delacri	--1	delacrimatorius
deliq-	delic		delicuus
dem-	dam		damiurgus
dem-	dim		dimetior, dimetor
dendrof-	dendrop	--1	dendrophorus
der-	dir		directe, directio, directo, directura, directus, dirigo
des-	dis		dissignator
deuor-	deuer		deuersor, deuersorius, deuerticulum, deuerto
dimm-	dimi	--1	diminuo
dirr-	diru	--1	dirumpo
disr-	diru		dirumpo
diu-	deu		deuerbium, deuersorium
dole-	doli		doliarium, doliarius
domi-	dome		domefactus
duell-	bella	--1	bellator
duell-	belli	--1	bellicus
dysint-	dysent		dysenteria, dysenterici
ebur-	ebor		eborarius, eboratus
ecn-	enu	--1	enubo
ed-	he	--1	hedera, hederaceus
ed-	ae	+1	aedificiolum, aedilicius, aedilis
el-	he	+1	helops, heluella
ell-	hel	+1	helluor
emi-	hem	+1	hemitritaeus
enl-	ell		ellychnium
epistol-	epistul		epistularis
erad-	exra	--1	exradicitus
erung-	eryng		eryngion
esc-	aes	+1	aesculetum, aesculus
ex(s)erc-	exsarcio		exsarcio
ex(s)ol-	exulo	--1	exulo
exf-	eff		effluo, effodio, effrico, effugio
exint-	exent		exentero
exops-	exobs		exobsecro
exr-	era	--1	eradico
exr-	ero	--1	erogo
exs-	exi	--1	exilium
exs-	exo	--1	exolesco
exs-	exu	--1	exulatio, exulatus, exulo
fael-	fele	--1	feles
faet-	foet		foeteo, foetidus, foetor
famil-	famul		famulitas
farct-	fartu	--1	fartum, fartus
fas-	pha	--1	phaseolus
