ius2	     iūris
iuuo	     ~āre, iūuī, iūtum
lac	     lactis
lallo	           (perhaps also 
lapathium	            var. of lapathum.
laridum	            lardum
lauatrina	             ⋈22  Ɔ       Pompon.
laxo	             (intr.)
lego2	     ~ere, lēgī, lectum
lenio	             (intr.)
lex	     lēgis
lingo	     ~ere, linxī, linctum
lino	     ~ere, lēuī, litum
linquo	     ~ere, līquī
liqueo	     ~ēre, licuī or liquī
lis	     lītis
loquor	     ~ī, locūtus
luca bos	     lūcae bouis
luceo	     ~ēre, luxī
ludicer	     ludicra, ~crum
lugeo	     ~ēre, luxī, luctum
lupus	             (?f.)
lustro1	             (intr.)
lux	     lūcis
lynx	     lyncis or lyncos
macto	             (intr.)
magis1	          maximē.
magistro	             (intr.)
magno opere	     maximopere
male	          pēius, pessimē
maledico	               Often as two words 
malefacio	           Often as two words 
mammia	           Perhaps also 
manicae	           -cae
mantiscinor	           (word of dub. meaning).
mas1	     maris
mas2	     maris
materfamilias	     mātrisfamiliās
materinus	           (dub. word, derived by some editors from 
meio	     ~ere, mixī or minxī, mictum or minctum
mel	     mellis
meltom	        (probably f.l. for 
menias	   dub. word in 
mereo	             (intr.)
merito2	             (intr.)
metior	     ~īrī, mensus (mētītus)
meto2	     ~ere (messuī) messum
metuo	             (intr.)
mia	          chariton ~a
minimus	                1   Smallest (or very small) in size or extent.
miniscor	         (mentus)
minuo	             (intr.)
misceo	     ~ēre, ~uī, mixtum (mistum)
miseror	             (intr.)
mitto	     ~ere, mīsī, missum
molesto	             (intr.)
molior	             (intr.)
mordeo	     ~dēre, momordī (mem-), ~sum
mos	     mōris
moueo	     ~ēre, mōuī, mōtum
mulceo	     ~ēre, mulsī (mulsum or mul(c)tum)
muriola	               murr-
mus	     mūris
muto1	             (intr.)
myrice	   (?  myrīca
mys1	     myos
nanciscor	     ~ī, nactus or nanctus
nascor	     ~ī, nātus
nauplium	           (apparently) An article, probably of dress or adornment, used in Isis worship.
necne	          negative particle
necto	     ~ere, nexī, nexum
nego	             (intr.)
neo	     nēre, nēuī, nētum
nequam	          nēquior, nēquissimus.
nescio	             (intr.)
nex	     necis
nix	     niuis
no	     nāre, nāuī
nosco	     ~scere, nōuī, nōtum
nouo	             (intr.)
nyctalops	             (?f.)
obeo	             (intr.)
obnuntio	             (intr.)
obruo	             (intr.)
obseruo	             (intr.)
obsidianus	   apparently erroneous for obsiānus.
obstino	             (intr.)
obstruo	             (intr.)
obsum	     ~esse, ~fuī (also offuī)
obtineo	             (intr.)
obumbro	             (intr.)
occursatrix	           (Feminine agent noun from occursō).
offero	     ~rre, obtulī or optulī, oblātum
offirmo	             (intr.)
ollaner	   dub. word in 
omniparens	             (adj.)
oppugno	             (intr.)
ops1	     opis
ops3	     opis
optimates	             optum-
orichalcinus	           In quotation 
os1	     ōris
os2	     ossis
oscheos	           (or 
oscillo	           Perhaps also 
osculor	             (intr.)
paedagogium	     ~iiV2 
pallo	           (unintelligible word in 
palpo	             (intr.)
palpus	           (or? 
panaca	   (  ? ~ae
pando2	     ~ere, passum or pansum
pango	     ~ere, pepigī (or pēgī, panxī), pactum
par1	     paris
par2	     paris
par3	     paris
parco	     ~cere, pepercī (or parcuī, parsī)
parembolis	           (? or 
pario2	             (intr.)
parnacis	           (apparently) A garment worn by girls.
parum	          indeclinable adv.
passiolus	            of phasēlus 
pax1	     pācis
pecto	     ~ere, pex(u)ī, pexum (~itum)
pendeo	     ~ēre, pependī
peragro	             (intr.)
percurso	             (intr.)
perenno	             (?tr.)
pererro	             (intr.)
perfacul	   archaic for perfacile.
perfero	     ~rre, pertulī, perlātum
pernocto	             (?tr.)
peronei	   dub. word in 
perpluo	             (?tr.)
pertaedeo	             (intr.)
pes	     pedis
pessimus	           to malus1.
piget	             (intr.)
pinnus	   (? or 
pix1	     picis
pix2	     picis
plango	             (intr.)
plebiscitum	           Often as two words (sometimes separated or reversed) 
pono	     pōnere, posuī, positum
poricino	        obscure word in 
posco	     ~ere, poposcī
possum	     posse, potuī
praegrauo	             (intr.)
precor	             (intr.)
precula	   a barbarism for pergula.
premo1	             (intr.)
profringo	     ~ere, prōfrēgī, prōfractum
proicio	             (intr.)
promereo	             (intr.)
propala	        dub. reading in 
pruditas	           (dub. word in 
psin	   = Greek ψίν (
puluero	             (intr.)
pungo	     ~gere, pupugī (pepugī), ~ctum
pus1	     pūris
putiluci	           comic perversion of puticulī.
pyropum	           (or 
pyrricha	     pyrrhicha
quaero	             (intr.)
quantillus	           How small in amount, size, etc.? (in quotations, exclamatory).
quantusquantus	     quantaquanta, quantumquantum
quasso	             (intr.)
quattuoruir	           Abbreviated 
quattuoruiralis	           Abbreviated 
quattuoruiratus	           Abbreviated 
quemadmodum	        Often written as three words, by editors sometimes as two (
queo	     quīre, quīuī or quiī
qui1	     quae or (sense 24) qua, quod
quicumque	     quaecumque, quodcumque
quidam1	     quaedam, quoddam
quidam2	     quaedam, quiddam
quiens	     queuntis
quiesco	     ~ere, quiēuī, quiētum
quilibet1	     quaelibet, quodlibet
quilibet2	     quaelibet, quodlibet
quinam	     quaenam, quodnam
quini	           Rarely sg.
quique	   in phrase 
quirquir	   obscure word in augural formula cited in 
quis1	     quid
quisnam	     quaenam, quidnam
quispiam1	     quaepiam, quodpiam
quispiam2	     quaepiam, quippiam (quidpiam)
quisquam	     quicquam (quidquam)
quisque	     quaeque, quidque, quicque or quodque
quisquis	     quidquid (quicquid)
quiuis1	     quaeuīs, quoduīs
quiuis2	     quaeuīs, quiduīs
quiuiscumque	     quaeuīscumque, quoduīscumque
quocumque	     quōquomque
quotuscumque	     quotacumque, quotumcumque
rauistellus	           var. for grāuastellus in 
reapse	          rēabse
