(h)ari-	harusp		haruspex
conl-	coll		collabasco, collabefacto, collabefio, collabello, collabor, collacrimatio, collacrimo, collactaneus, collacteus, collaticius, collatio, collatiuus, collator, collatro, collaudatio, collaudo, collectio, collega, collegium, colleuo, colliberta, collibertus, collibro, collibuit, colliciae, colliciaris, collido, colligatio, colligo, collimo, collino, colliquefacio, colliquesco, collisio, collisus, collisus, collocatio, colloco, collocupleto, collocutio, colloquium, colloquor, colluceo, colluco, colluctatio, colluctor, colludo, collumino, colluo, collurchinatio, collusim, collusio, collusor, collusorie, collustrium, collustro, collutio, collutulento, colluuiaris, colluuies, colluuio, collacero, collinio
conm-	comm		commemoramentum, commemoratio, commemoro, commercor, commereo, commetior, commitigo, committo, communis, communitus
conn-	cone		conecto, conexus
conn-	coni		conitor, coniueo
conp-	comp		compactus, compaganus, compages, compago, compar, comparabilis, comparate, comparatio, comparatio, comparatiue, comparatiuus, comparator, comparatus, compareo, comparo, comparo, compartior, compasco, compascuus, compastor, compatriota, compatronus, compauesco, compauio, compedio, compeditus, compellatio, compello, compello, compendiaria, compendiarium, compendiarius, compendiosus, compendium, compenso, comperco, comperendinatio, comperendinatus, comperendino, comperendinus, compernis, compertusio, compes, compesco, competens, competenter, competentia, competitor, competitrix, competo, compilatio, compilo, compilo, compingo, compitensis, complaceo, complaco, complanator, complano, complector, complementum, compleo, completus, complexio, complexiuus, complexus, complico, complodo, comploratio, comploratus, comploro, compluit, complures, compluriens, complurimi, compluscule, complusculi, compluuiatus, compluuium, compono, comportatio, comporto, compos, composite, compositicius, compositio, composito, compositor, compositum, compositus, compotatio, compotens, compotio, compoto, compotor, compotrix, compraecido, compraes, compransor, comprecatio, comprecor, comprehendo, comprehensibilis, comprehensio, comprehenso, compresse, compressio, compressor, compressus, compressus, comprimens, comprimo, comprobatio, comprobator, comprobo, compromissarius, compromissum, compromitto, compugno, compulsio, compulso, compungo, computabilis, computatio, computator, computo, computresco
conr-	corr		corrado, correctio, corrector, correctus, corregio, correpo, correpte, correptio, correptus, correus, corrideo, corrigo, corripio, corriuatio, corriuo, corroboro, corrodo, corrogo, corrotundo, corrugo, corrumpo, corruo, corrupte, corruptela, corruptio, corruptor, corruptrix, corruspor
contut-	contui		contuitus
conuor-	conuer		conuerto
cop-	cau		caupona
cop-	coo		cooperculum, cooperimentum, cooperio, cooptatio, coopto
corolit-	coralli		coralliticus
corollit-	corallit		coralliticus
cot-	cot		cottidiano, cottidie, cottidio
coti-	cott		cottidianus
crab-	grab		grabatus
crass-	grass		grassator
cum-	cym		cymatium
cupe-	cupp		cuppedia, cuppedo
cupi-	cupp		cuppedia
defrud-	defrau		defraudo
deiur-	deier		deiero
delachr-	delacri		delacrimatorius
deliq-	delic		delicuus
dem-	dam		damiurgus
dem-	dim		dimetior, dimetor
dendrof-	dendrop		dendrophorus
der-	dir		directe, directio, directo, directura, directus, dirigo
des-	dis		dissignator
